strategy,return_pct,risk_adjusted,consistency,max_drawdown,total_invested,profit_loss,total_trades
Red Day + RSI < 30,16.65,4.94,100.0,2.37,20.0,3.33,2
2 Red Days + RSI < 30,16.65,4.94,100.0,2.37,20.0,3.33,2
3 Red Days + RSI < 30,16.65,4.94,100.0,2.37,20.0,3.33,2
Red Day + RSI < 35,12.12,1.63,3.2,6.45,80.0,9.7,8
3 Red Days + 1.2x Volume,10.73,1.8,10.45,4.96,30.0,3.22,3
Mean Reversion: 7% Drop (10D),10.7,1.44,100.0,6.45,10.0,1.07,1
Red Day 2% Below MA20,9.79,1.59,6.67,5.15,200.0,19.58,20
Red Day + Price Position <15% (20D),9.78,1.84,7.79,4.31,130.0,12.72,13
Red Day + Price Position <20% (20D),9.69,1.04,7.58,8.29,180.0,17.45,18
Red Day 2% Below MA10,9.3,1.51,6.88,5.15,200.0,18.6,20
2 Red Days + Near Support (15%),9.16,1.53,7.82,4.99,100.0,9.16,10
2 Red Days + Near Support (20%),8.99,0.97,7.59,8.29,140.0,12.59,14
3 Red Days + Near Support (20%),8.9,1.4,7.77,5.34,110.0,9.79,11
Red Day 3% Below MA20,8.82,1.43,7.32,5.15,120.0,10.58,12
Red Day + Price Position <10% (20D),8.5,1.6,7.76,4.31,90.0,7.65,9
Red Day 3% Below MA5,8.48,1.14,5.07,6.45,50.0,4.24,5
3 Red Days + Near Support (15%),8.44,1.33,7.85,5.34,80.0,6.75,8
Mean Reversion: 5% Drop (10D),8.22,0.88,4.71,8.29,60.0,4.93,6
Red Day 1% Below MA20,8.2,1.33,6.85,5.15,260.0,21.31,26
Red Day + Price Position <25% (20D),7.8,0.84,7.87,8.29,210.0,16.38,21
3 Red Days + 1% Total Drop,7.71,1.15,7.83,5.7,160.0,12.33,16
Red Day 3% Below MA10,7.39,0.99,7.09,6.45,110.0,8.13,11
3 Red Days + 3% Total Drop,7.39,0.99,8.0,6.45,100.0,7.39,10
3 Red Days + 2% Total Drop,7.24,1.08,7.81,5.7,150.0,10.86,15
3 Red Days + 1.5x Volume,7.15,1.2,11.22,4.96,20.0,1.43,2
3 Red + Below MA10 + Vol,7.15,1.2,11.22,4.96,20.0,1.43,2
3 Red + Below MA20 + Vol,7.15,1.2,11.22,4.96,20.0,1.43,2
3 Consecutive Red Days,7.08,1.06,7.87,5.7,170.0,12.04,17
3 Red Days + Below MA5,7.08,1.06,7.87,5.7,170.0,12.04,17
3 Red Days + Below MA10,7.08,1.06,7.87,5.7,170.0,12.04,17
Red Day + Price Position <25% (10D),7.06,1.15,6.78,5.15,310.0,21.88,31
Red Day 0% Below MA20,6.86,1.12,6.94,5.15,370.0,25.4,37
Red Day + Price Position <10% (10D),6.73,0.72,7.09,8.29,130.0,8.75,13
4 Consecutive Red Days,6.71,0.98,7.86,5.83,100.0,6.71,10
Red Day + Price Position <20% (10D),6.66,1.08,7.29,5.15,220.0,14.66,22
